,Game ID,Team,Away or Home,Score,Rank,Date,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,3 Pointers Made,3 Pointers Attempted,Free Throws Made,Free Throws Attempted,Field Goals Made,Field Goals Attempted,FG%,FT%,TP%,Off Score,Winner
0,6289933,Queens (N.C.),1,69.0,8,03/04/2024,38,14,24,11,8,1,13,17,1.0,6.0,11.0,25.0,18.0,22.0,20.0,58.0,0.3448275862068966,0.8181818181818182,0.44,63.0,1
1,6289933,Fla. Gulf Coast,1,63.0,7,03/04/2024,36,8,28,8,10,5,16,16,-1.0,-6.0,8.0,21.0,7.0,14.0,24.0,53.0,0.4528301886792453,0.5,0.3809523809523809,69.0,0
2,6290143,Holy Cross,1,84.0,9,03/05/2024,36,7,29,16,3,4,7,11,1.0,16.0,12.0,19.0,18.0,22.0,27.0,51.0,0.5294117647058824,0.8181818181818182,0.631578947368421,68.0,1
3,6290143,Army,1,68.0,8,03/05/2024,31,11,20,17,6,3,4,17,-1.0,-16.0,8.0,35.0,8.0,14.0,26.0,63.0,0.4126984126984127,0.5714285714285714,0.2285714285714285,84.0,0
4,6289929,Jacksonville,1,67.0,10,03/05/2024,36,15,21,11,6,2,7,15,9.0,2.0,4.0,12.0,19.0,21.0,22.0,58.0,0.3793103448275862,0.9047619047619048,0.3333333333333333,65.0,1
5,6289929,Eastern Kentucky,1,65.0,1,03/05/2024,38,16,22,10,4,4,11,15,-9.0,-2.0,3.0,16.0,10.0,17.0,26.0,59.0,0.4406779661016949,0.5882352941176471,0.1875,67.0,0
6,6289932,Queens (N.C.),1,71.0,8,03/05/2024,40,16,24,7,5,1,8,16,6.0,-12.0,6.0,28.0,11.0,16.0,27.0,71.0,0.380281690140845,0.6875,0.2142857142857142,83.0,0
7,6289932,Stetson,1,83.0,2,03/05/2024,38,6,32,11,4,4,6,18,-6.0,12.0,7.0,25.0,14.0,15.0,31.0,60.0,0.5166666666666667,0.9333333333333332,0.28,71.0,1
8,6290137,IUPUI,1,66.0,10,03/05/2024,25,9,16,9,9,0,19,15,3.0,-19.0,2.0,11.0,14.0,21.0,25.0,49.0,0.5102040816326531,0.6666666666666666,0.1818181818181818,85.0,0
9,6290137,Cleveland St.,1,85.0,7,03/05/2024,31,11,20,16,12,1,15,17,-3.0,19.0,8.0,20.0,5.0,11.0,36.0,60.0,0.6,0.4545454545454545,0.4,66.0,1
