,Game ID,Team,Away or Home,Score,Rank,Date,Field Goals,3 Pointers,Free Throws,Rebounds,Offensive Rebounds,Defensive Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Rank Diff,Score Diff,Win,Cumulative Avg Points,Cumulative Field Goals Avg,Cumulative 3 Pointers Avg,Cumulative Free Throws Avg
0,6289933,Queens (N.C.),Away team,69.0,8,4,0.3448275862068966,0.44,0.8181818181818182,38,14,24,11,8,1,13,17,1,6.0,1,69.0,0.3448275862068966,0.44,0.8181818181818182
1,6289933,Fla. Gulf Coast,Home team,63.0,7,4,0.4528301886792453,0.38095238095238093,0.5,36,8,28,8,10,5,16,16,-1,-6.0,0,63.0,0.4528301886792453,0.38095238095238093,0.5
2,6290143,Holy Cross,Away team,84.0,9,5,0.5294117647058824,0.631578947368421,0.8181818181818182,36,7,29,16,3,4,7,11,1,16.0,1,84.0,0.5294117647058824,0.631578947368421,0.8181818181818182
3,6290143,Army,Home team,68.0,8,5,0.4126984126984127,0.22857142857142856,0.5714285714285714,31,11,20,17,6,3,4,17,-1,-16.0,0,68.0,0.4126984126984127,0.22857142857142856,0.5714285714285714
4,6289929,Jacksonville,Away team,67.0,10,5,0.3793103448275862,0.3333333333333333,0.9047619047619048,36,15,21,11,6,2,7,15,9,2.0,1,67.0,0.3793103448275862,0.3333333333333333,0.9047619047619048
5,6289929,Eastern Kentucky,Home team,65.0,1,5,0.4406779661016949,0.1875,0.5882352941176471,38,16,22,10,4,4,11,15,-9,-2.0,0,65.0,0.4406779661016949,0.1875,0.5882352941176471
6,6289932,Queens (N.C.),Away team,71.0,8,5,0.38028169014084506,0.21428571428571427,0.6875,40,16,24,7,5,1,8,16,6,-12.0,0,70.0,0.3625546381738708,0.3271428571428571,0.7528409090909092
7,6289932,Stetson,Home team,83.0,2,5,0.5166666666666667,0.28,0.9333333333333333,38,6,32,11,4,4,6,18,-6,12.0,1,83.0,0.5166666666666667,0.28,0.9333333333333333
8,6290137,IUPUI,Away team,66.0,10,5,0.5102040816326531,0.18181818181818182,0.6666666666666666,25,9,16,9,9,0,19,15,3,-19.0,0,66.0,0.5102040816326531,0.18181818181818182,0.6666666666666666
9,6290137,Cleveland St.,Home team,85.0,7,5,0.6,0.4,0.45454545454545453,31,11,20,16,12,1,15,17,-3,19.0,1,85.0,0.6,0.4,0.45454545454545453
10,6290144,Loyola (MD),Away team,48.0,10,5,0.2698412698412698,0.2608695652173913,0.6153846153846154,35,16,19,7,8,2,9,17,3,-16.0,0,48.0,0.2698412698412698,0.2608695652173913,0.6153846153846154
11,6290144,Navy,Home team,64.0,7,5,0.44,0.36363636363636365,0.8,44,11,33,15,2,4,13,18,-3,16.0,1,64.0,0.44,0.36363636363636365,0.8
12,6289934,North Alabama,Away team,77.0,6,5,0.4666666666666667,0.52,0.6666666666666666,35,8,27,11,6,3,11,13,3,2.0,1,77.0,0.4666666666666667,0.52,0.6666666666666666
13,6289934,Lipscomb,Home team,75.0,3,5,0.4375,0.36,0.7692307692307693,33,10,23,11,7,4,7,14,-3,-2.0,0,75.0,0.4375,0.36,0.7692307692307693
14,6290136,Detroit,Away team,79.0,11,5,0.5087719298245614,0.34615384615384615,0.7058823529411765,27,6,21,16,7,2,14,19,5,-4.0,0,79.0,0.5087719298245614,0.34615384615384615,0.7058823529411765
