,Away,Home,Away Score,Home Score,image1,image2
0,Michigan St.,Mississippi St.,69,51,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/michigan-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/mississippi-st.svg
1,Duquesne,BYU,71,67,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/duquesne.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/byu.svg
2,Akron,Creighton,60,77,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/akron.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/creighton.svg
3,Long Beach St.,Arizona,65,85,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/long-beach-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/arizona.svg
4,Wagner,North Carolina,62,90,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wagner.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina.svg
5,Morehead St.,Illinois,69,85,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/morehead-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/illinois.svg
6,Oregon,South Carolina,87,73,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/oregon.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-carolina.svg
7,Nevada,Dayton,60,63,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/nevada.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/dayton.svg
8,Colorado St.,Texas,44,56,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/colorado-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas.svg
9,Oakland,Kentucky,80,76,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/oakland.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/kentucky.svg
10,South Dakota St.,Iowa St.,65,82,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/south-dakota-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/iowa-st.svg
11,McNeese,Gonzaga,65,86,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/mcneese.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/gonzaga.svg
12,Saint Peter's,Tennessee,49,83,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-peters.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tennessee.svg
13,NC State,Texas Tech,80,67,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/north-carolina-st.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-tech.svg
14,Drake,Washington St.,61,66,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/drake.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/washington-st.svg
15,Samford,Kansas,89,93,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/samford.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/kansas.svg
