,Away,Home,away score,home score,image1,image2
0,Northwestern,FAU,77,65,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/northwestern.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/fla-atlantic.svg
1,Colgate,Baylor,67,92,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/colgate.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/baylor.svg
2,UAB,San Diego St.,65,69,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uab.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/san-diego-st.svg
3,Western Ky.,Marquette,69,87,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/western-ky.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/marquette.svg
4,New Mexico,Clemson,56,77,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/new-mexico.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/clemson.svg
5,Stetson,UConn,52,91,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/stetson.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/uconn.svg
6,Yale,Auburn,78,76,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/yale.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/auburn.svg
7,Colorado,Florida,102,100,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/colorado.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/florida.svg
8,Texas A&M,Nebraska,98,83,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/texas-am.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/nebraska.svg
9,Vermont,Duke,47,64,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/vermont.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/duke.svg
10,Grambling St.,Purdue,50,78,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/grambling.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/purdue.svg
11,Charleston,Alabama,96,109,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/col-of-charleston.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama.svg
12,Longwood,Houston,46,86,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/longwood.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/houston.svg
13,James Madison,Wisconsin,72,61,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/james-madison.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/wisconsin.svg
14,TCU,Utah St.,72,88,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/tcu.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/utah-st.svg
15,Grand Canyon,Saint Mary's,75,66,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/grand-canyon.svg,https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/st-marys-ca.svg
